"R_KD","B_KD","R_SIG_STR.","B_SIG_STR.","R_TOTAL_STR.","B_TOTAL_STR.","R_SUB_ATT","B_SUB_ATT","R_CTRL","B_CTRL","R_HEAD","B_HEAD","R_BODY","B_BODY","R_DISTANCE","B_DISTANCE","win_by","Fight_type","Winner","R_height_cm","R_reach_in_cm","R_stance","R_age","B_height_cm","B_reach_in_cm","B_stance","B_age","R_fighter","B_fighter"
0,0,0.533333333333333,0.428571428571429,0.740740740740741,0.617647058823529,1,0,0.916666666666667,4.26666666666667,0.545454545454545,0.3,0,1,0.461538461538462,0.333333333333333,"Submission","Lightweight Bout","Nazim Sadykhov",177.8,175.26,"Southpaw",29,177.8,185.42,"Switch",29,"Nazim Sadykhov","Terrance McKinney"
0,0,0.330275229357798,0.592592592592593,0.356521739130435,0.60655737704918,0,0,6.31666666666667,0.7,0.197183098591549,0.484848484848485,0.571428571428571,0.75,0.323809523809524,0.568181818181818,"Decision - Unanimous","Featherweight Bout","Melsik Baghdasaryan",172.72,182.88,"Orthodox",29,175.26,177.8,"Southpaw",32,"Tucker Lutz","Melsik Baghdasaryan"
0,0,0.605839416058394,0.258064516129032,0.702830188679245,0.340425531914894,0,0,1.31666666666667,6.8,0.528846153846154,0.247863247863248,0.84375,0.333333333333333,0.571428571428571,0.23728813559322,"Decision - Split","Welterweight Bout","Jack Della Maddalena",180.34,185.42,"Switch",27,180.34,182.88,"Orthodox",32,"Jack Della Maddalena","Bassil Hafez"
0,1,0.424242424242424,0.666666666666667,0.444444444444444,0.688524590163934,0,0,0,0.816666666666667,0.3,0.673913043478261,0.636363636363636,0.333333333333333,0.428571428571429,0.566666666666667,"KO/TKO","Lightweight Bout","Francisco Prado",172.72,180.34,"Switch",34,177.8,175.26,"Orthodox",21,"Ottman Azaitar","Francisco Prado"
0,1,0.402597402597403,0.520833333333333,0.421686746987952,0.557971014492754,0,3,1.23333333333333,1.98333333333333,0.315789473684211,0.482352941176471,0.875,0.8,0.407894736842105,0.505376344086022,"Submission","Middleweight Bout","JunYong Park",180.34,190.5,"Orthodox",35,177.8,185.42,"Orthodox",33,"Albert Duraev","JunYong Park"
1,1,0.492307692307692,0.271186440677966,0.492307692307692,0.274261603375527,1,0,0.1,0,0.393548387096774,0.242857142857143,0.789473684210526,0.666666666666667,0.49740932642487,0.268398268398268,"Decision - Unanimous","Lightweight Bout","Evan Elder",177.8,182.88,"Switch",27,175.26,182.88,"Orthodox",32,"Evan Elder","Genaro Valdez"
0,0,0.280575539568345,0.454545454545455,0.278571428571429,0.457627118644068,0,1,0,2.73333333333333,0.210526315789474,0.293233082706767,0.647058823529412,0.657534246575342,0.280575539568345,0.444976076555024,"Decision - Unanimous","Featherweight Bout","Melquizael Costa",177.8,177.8,"Orthodox",29,177.8,180.34,"Southpaw",27,"Austin Lingo","Melquizael Costa"
1,0,0.396396396396396,0.342592592592593,0.441666666666667,0.348214285714286,0,0,3.9,0,0.373737373737374,0.298969072164948,0.545454545454545,0.727272727272727,0.310344827586207,0.339622641509434,"Decision - Unanimous","Lightweight Bout","Alexander Munoz",175.26,182.88,"Switch",34,170.18,175.26,"Orthodox",34,"Alexander Munoz","Carl Deaton"
0,0,0.380281690140845,0.243386243386243,0.40495867768595,0.242105263157895,0,0,0.5,0.366666666666667,0.181208053691275,0.197604790419162,0.678571428571429,0.571428571428571,0.37799043062201,0.251366120218579,"Decision - Split","Flyweight Bout","Azat Maksum",170.18,172.72,"Orthodox",40,170.18,177.8,"Southpaw",29,"Tyson Nam","Azat Maksum"
0,1,0.442857142857143,0.596153846153846,0.450704225352113,0.627118644067797,0,0,0.383333333333333,0.95,0.389830508474576,0.493506493506494,0.5,0.846153846153846,0.426470588235294,0.532467532467532,"KO/TKO","Middleweight Bout","Dricus Du Plessis",182.88,185.42,"Orthodox",33,185.42,193.04,"Switch",30,"Robert Whittaker","Dricus Du Plessis"
0,0,0.680412371134021,0.5,0.752525252525252,0.553398058252427,0,0,7.21666666666667,0,0.695652173913043,0.26530612244898,0.8,0.785714285714286,0.555555555555556,0.493506493506494,"KO/TKO","Featherweight Bout","Alexander Volkanovski",167.64,180.34,"Orthodox",35,180.34,180.34,"Orthodox",31,"Alexander Volkanovski","Yair Rodriguez"
0,1,0.6,0.470802919708029,0.630188679245283,0.498452012383901,0,0,4.01666666666667,8.43333333333333,0.575757575757576,0.42914979757085,1,0.909090909090909,0.581818181818182,0.435146443514644,"Decision - Split","Flyweight Bout","Alexandre Pantoja",170.18,177.8,"Orthodox",30,165.1,170.18,"Orthodox",33,"Brandon Moreno","Alexandre Pantoja"
1,0,0.8,0.285714285714286,0.8,0.285714285714286,0,0,0,0,0.8,0,0,0.5,0.666666666666667,0.166666666666667,"KO/TKO","Welterweight Bout","Robbie Lawler",180.34,187.96,"Southpaw",42,182.88,193.04,"Orthodox",34,"Robbie Lawler","Niko Price"
1,0,0.7,0.222222222222222,0.7,0.222222222222222,0,0,0.0333333333333333,0,0.7,0.222222222222222,0,0,0.666666666666667,0.222222222222222,"KO/TKO","Middleweight Bout","Bo Nickal",185.42,193.04,"Southpaw",28,172.72,187.96,"Orthodox",30,"Bo Nickal","Val Woodburn"
0,1,0.564971751412429,0.634517766497462,0.591623036649215,0.696356275303644,0,1,0.3,3.15,0.4921875,0.553956834532374,0.810810810810811,0.78125,0.513157894736842,0.636942675159236,"Decision - Split","Lightweight Bout","Dan Hooker",190.5,195.58,"Southpaw",28,182.88,190.5,"Switch",34,"Jalin Turner","Dan Hooker"
0,0,0.5625,0.428571428571429,0.605263157894737,0.545454545454545,1,0,1.61666666666667,1.1,0.517241379310345,0.428571428571429,1,0,0,0,"KO/TKO","Bantamweight Bout","Cameron Saaiman",172.72,170.18,"Southpaw",23,177.8,187.96,"Orthodox",34,"Cameron Saaiman","Terrence Mitchell"
0,0,0.523364485981308,0.569306930693069,0.585034013605442,0.602678571428571,1,0,6.33333333333333,1.25,0.428571428571429,0.531073446327684,0.8,0.85,0.504950495049505,0.534883720930233,"Decision - Unanimous","Lightweight Bout","Esteban Ribovics",177.8,190.5,"Switch",30,177.8,175.26,"Orthodox",27,"Kamuela Kirk","Esteban Ribovics"
0,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0.5,1,1,0,0.666666666666667,0.666666666666667,"KO/TKO","Flyweight Bout","Jesus Aguilar",167.64,167.64,"Switch",34,162.56,157.48,"Orthodox",28,"Shannon Ross","Jesus Aguilar"
0,0,0.54320987654321,0.625,0.648648648648649,0.794594594594595,2,0,8.65,0.3,0.470588235294118,0.462962962962963,0.9,0.84,0.413793103448276,0.561643835616438,"Submission","Light Heavyweight Bout","Vitor Petrino",187.96,195.58,"Orthodox",26,190.5,187.96,"Orthodox",35,"Vitor Petrino","Marcin Prachnio"
